FECHA	TMAX	TMIN	NOMBRE
27/10/2023	30.5	16.5	CHEPES
27/10/2023	29.8	14.6	CHILECITO AERO
27/10/2023	24.0	13.2	CIPOLLETTI
27/10/2023	21.8	12.4	COMODORO RIVADAVIA AERO
27/10/2023	27.6	13.6	CONCORDIA AERO
27/10/2023	32.0	11.1	CORDOBA AERO
27/10/2023	32.7	15.4	CORDOBA OBSERVATORIO
27/10/2023	26.4	10.8	CORONEL SUAREZ AERO
27/10/2023	28.4	18.3	CORRIENTES AERO
27/10/2023		11.3	DOLORES AERO
27/10/2023	14.2	9.3	EL BOLSON AERO
27/10/2023	13.4	5.4	EL CALAFATE AERO
27/10/2023	28.0	15.0	EL PALOMAR AERO
27/10/2023		12.0	ESCUELA DE AVIACION MILITAR AERO
27/10/2023	14.2	5.0	ESQUEL AERO
27/10/2023	28.5	16.6	EZEIZA AERO
27/10/2023	26.4	18.8	FORMOSA AERO
27/10/2023	28.8	10.5	GENERAL PICO AERO
27/10/2023	17.8	6.0	GOBERNADOR GREGORES AERO
27/10/2023	27.0	13.6	GUALEGUAYCHU AERO
27/10/2023	23.2	18.9	IGUAZU AERO
27/10/2023	28.4	18.5	ITUZAINGO
27/10/2023	32.0	11.0	JACHAL
27/10/2023	29.6	17.7	JUJUY AERO
27/10/2023	28.8	16.2	JUJUY U N
27/10/2023	27.1	11.9	JUNIN AERO
27/10/2023	25.6	14.6	LA PLATA AERO
27/10/2023	24.0	3.0	LA QUIACA OBSERVATORIO
27/10/2023	32.0	16.1	LA RIOJA AERO
27/10/2023	24.1	12.5	LABOULAYE AERO
27/10/2023	27.0	14.0	LAS FLORES
27/10/2023	33.0	20.6	LAS LOMITAS
27/10/2023	21.6	4.0	MALARGUE AERO
27/10/2023	18.6	6.6	MAQUINCHAO
27/10/2023	26.9	10.0	MAR DEL PLATA AERO
27/10/2023	28.0	14.4	MARCOS JUAREZ AERO
27/10/2023	27.0	16.8	MARIANO MORENO AERO
27/10/2023	29.5	14.8	MENDOZA AERO
27/10/2023	27.2	12.4	MENDOZA OBSERVATORIO
27/10/2023	28.5	15.0	MERCEDES AERO (CTES)
27/10/2023	27.7	15.7	MERLO AERO
27/10/2023	28.5	15.5	METAN
27/10/2023	27.4	14.3	MONTE CASEROS AERO
27/10/2023	27.4	14.4	MORON AERO
27/10/2023	23.9	8.0	NEUQUEN AERO
27/10/2023	27.4	15.0	NUEVE DE JULIO
27/10/2023	28.0	18.0	OBERA
27/10/2023	25.5	9.5	OLAVARRIA AERO
27/10/2023	28.0	18.9	ORAN AERO
27/10/2023	27.7	14.9	PARANA AERO
27/10/2023	20.1	8.9	PASO DE INDIOS
27/10/2023	27.0	14.8	PASO DE LOS LIBRES AERO
27/10/2023	28.3	13.4	PEHUAJO AERO
27/10/2023	13.8	5.0	PERITO MORENO AERO
27/10/2023	28.3	9.2	PIGUE AERO
27/10/2023	30.6	14.3	PILAR OBSERVATORIO
27/10/2023	27.7	18.8	POSADAS AERO
27/10/2023	31.5	19.5	PRESIDENCIA ROQUE SAENZ PE?A AERO
27/10/2023	21.0	5.0	PUERTO DESEADO AERO
27/10/2023	25.2	9.8	PUERTO MADRYN AERO
27/10/2023	23.8	13.0	PUNTA INDIO B.A.
27/10/2023	28.1	13.0	RAFAELA AERO
27/10/2023	28.0	17.5	RECONQUISTA AERO
27/10/2023	29.9	18.3	RESISTENCIA AERO
27/10/2023	27.5	12.4	RIO CUARTO AERO
27/10/2023	19.3	5.5	RIO GALLEGOS AERO
27/10/2023	7.5	-0.5	RIO GRANDE B.A.
27/10/2023	32.0	17.8	RIVADAVIA
27/10/2023	27.3	14.3	ROSARIO AERO
27/10/2023	30.0	15.0	SALTA AERO
27/10/2023	25.5	5.4	SAN ANTONIO OESTE AERO
27/10/2023	27.5	14.8	SAN FERNANDO AERO
27/10/2023	32.8	16.5	SAN JUAN AERO
27/10/2023	21.2	5.7	SAN JULIAN AERO
27/10/2023	25.9	14.1	SAN LUIS AERO
27/10/2023	29.8	13.3	SAN MARTIN (MZA)
27/10/2023	30.0	10.1	SAN RAFAEL AERO
27/10/2023	20.5	6.2	SANTA CRUZ AERO
27/10/2023	28.9	10.8	SANTA ROSA AERO
27/10/2023	29.9		SANTA ROSA DE CONLARA AERO
27/10/2023	30.7	19.8	SANTIAGO DEL ESTERO AERO
27/10/2023	28.4	15.4	SAUCE VIEJO AERO
27/10/2023	31.1	13.8	SUNCHALES AERO
27/10/2023	25.8	10.5	TANDIL AERO
27/10/2023		16.8	TARTAGAL AERO
27/10/2023	27.2	18.5	TERMAS DE RIO HONDO AERO
27/10/2023	32.0	12.0	TINOGASTA
27/10/2023	25.5	11.3	TRELEW AERO
27/10/2023	29.1	12.5	TRENQUE LAUQUEN
27/10/2023	29.2	13.5	TRES ARROYOS
27/10/2023	27.0	18.1	TUCUMAN AERO
27/10/2023	8.0	0.3	USHUAIA AERO
27/10/2023	21.2	9.0	USPALLATA
27/10/2023	28.0	12.0	VENADO TUERTO AERO
27/10/2023	31.5	9.7	VICTORICA
27/10/2023	28.9	7.7	VIEDMA AERO
27/10/2023	29.6	18.0	VILLA DE MARIA DEL RIO SECO
27/10/2023	30.5	15.5	VILLA DOLORES AERO
27/10/2023	26.4	13.0	VILLA GESELL AERO
27/10/2023	24.5	11.2	VILLA REYNOLDS AERO
26/10/2023	23.0	13.0	AEROPARQUE AERO
26/10/2023	24.4	9.1	AZUL AERO
26/10/2023	30.1	13.0	BAHIA BLANCA AERO
26/10/2023	14.4	6.6	BARILOCHE AERO
26/10/2023	-8.0	-14.6	BASE BELGRANO II
26/10/2023	-6.9	-10.4	BASE CARLINI (EX JUBANY)
26/10/2023	-8.9	-13.0	BASE ESPERANZA
26/10/2023	-11.8	-15.7	BASE MARAMBIO
26/10/2023	3.6	-6.0	BASE ORCADAS
26/10/2023	-7.1	-12.8	BASE SAN MARTIN
26/10/2023	24.2	10.3	BENITO JUAREZ AERO
26/10/2023	26.6	13.4	BERNARDO DE IRIGOYEN AERO
26/10/2023	25.9	8.0	BOLIVAR AERO
26/10/2023	24.2	13.0	BUENOS AIRES OBSERVATORIO
26/10/2023	25.2	6.0	CAMPO DE MAYO AERO
26/10/2023	28.2	12.9	CATAMARCA AERO
26/10/2023	26.5	16.6	CERES AERO
26/10/2023	24.3	16.3	CHAMICAL AERO
26/10/2023	17.7	6.0	CHAPELCO AERO
26/10/2023	28.0	16.0	CHEPES
26/10/2023	27.0	15.0	CHILECITO AERO
26/10/2023	27.5	10.5	CIPOLLETTI
26/10/2023	21.1	12.2	COMODORO RIVADAVIA AERO
26/10/2023	24.0	12.1	CONCORDIA AERO
26/10/2023	26.3	13.5	CORDOBA AERO
26/10/2023	26.6	14.0	CORDOBA OBSERVATORIO
26/10/2023	24.2	7.4	CORONEL SUAREZ AERO
26/10/2023	25.5	16.8	CORRIENTES AERO
